id,name,category,template,variables,example,tags,quality
portrait-cinematic,Cinematic Portrait,portrait,"A cinematic portrait of {subject}, {lighting}, {mood}, shot on 35mm film, shallow depth of field, dramatic lighting","subject,lighting,mood","A cinematic portrait of a young woman, soft window light, melancholic mood, shot on 35mm film","portrait,cinematic,film,dramatic",5
portrait-studio,Studio Portrait,portrait,"A professional studio portrait of {subject}, clean background, soft lighting, high detail, professional photography","subject","A professional studio portrait of a businessman, clean white background, soft lighting","portrait,studio,professional",4
portrait-environmental,Environmental Portrait,portrait,"An environmental portrait of {subject} in {location}, natural lighting, candid moment, storytelling composition","subject,location","An environmental portrait of a chef in kitchen, natural lighting, candid moment","portrait,environmental,storytelling",4
portrait-fashion,Fashion Portrait,portrait,"A fashion portrait of {subject}, wearing {clothing}, editorial style, dramatic lighting, high fashion photography","subject,clothing","A fashion portrait of a model, wearing elegant dress, editorial style","fashion,portrait,editorial",5
landscape-epic,Epic Landscape,landscape,"An epic landscape of {location}, {time of day}, dramatic sky, cinematic composition, ultra detailed","location,time of day","An epic landscape of mountains, golden hour, dramatic sky","landscape,epic,dramatic,cinematic",5
landscape-serene,Serene Landscape,landscape,"A serene peaceful landscape of {location}, soft morning light, misty atmosphere, tranquil mood","location","A serene peaceful landscape of lake, soft morning light, misty atmosphere","landscape,serene,peaceful,tranquil",4
landscape-fantasy,Fantasy Landscape,landscape,"A fantasy landscape of {location}, magical atmosphere, ethereal lighting, otherworldly beauty","location","A fantasy landscape of floating islands, magical atmosphere, ethereal lighting","landscape,fantasy,magical,ethereal",5
landscape-urban,Urban Landscape,landscape,"An urban landscape of {city}, {time of day}, city lights, architectural detail, street photography","city,time of day","An urban landscape of Tokyo, night, city lights, architectural detail","urban,city,architecture,street",4
product-clean,Clean Product,product,"A clean product shot of {product}, white background, studio lighting, commercial photography, high detail","product","A clean product shot of smartphone, white background, studio lighting","product,commercial,clean,studio",4
product-lifestyle,Lifestyle Product,product,"A lifestyle product shot of {product} in {setting}, natural lighting, contextual environment, aspirational","product,setting","A lifestyle product shot of coffee cup in cozy cafe, natural lighting","product,lifestyle,contextual,natural",4
product-flat-lay,Flat Lay Product,product,"A flat lay product shot of {items}, styled arrangement, top-down view, clean background, editorial","items","A flat lay product shot of cosmetics, styled arrangement, top-down view","product,flat-lay,styled,editorial",4
product-hero,Hero Product,product,"A hero product shot of {product}, dramatic lighting, premium feel, luxury aesthetic, commercial quality","product","A hero product shot of watch, dramatic lighting, premium feel","product,hero,premium,luxury",5
abstract-geometric,Geometric Abstract,abstract,"An abstract geometric composition with {shapes}, {colors}, balanced arrangement, modern aesthetic","shapes,colors","An abstract geometric composition with circles and triangles, vibrant colors","abstract,geometric,modern,balanced",4
abstract-fluid,Fluid Abstract,abstract,"An abstract fluid art with flowing {colors}, organic movement, marbled texture, mesmerizing pattern","colors","An abstract fluid art with flowing blues and golds, organic movement","abstract,fluid,organic,flowing",4
abstract-textured,Textured Abstract,abstract,"An abstract textured composition with {material}, tactile surface, layered depth, sensory experience","material","An abstract textured composition with cracked earth, tactile surface","abstract,textured,tactile,layered",4
abstract-minimal,Minimal Abstract,abstract,"A minimal abstract with {element}, negative space, subtle color, zen-like simplicity","element","A minimal abstract with single circle, negative space, subtle color","abstract,minimal,zen,simple",4
character-hero,Hero Character,character,"A heroic character design of {description}, dynamic pose, detailed costume, epic lighting, concept art quality","description","A heroic character design of warrior princess, dynamic pose, detailed costume","character,hero,concept,epic",5
