id,name_en,name_cn,primary_color,secondary_color,accent_color,description,emotion,use_cases,prompt_description
sunset-gold,Sunset Gold,日落金,#FF6B35,#F7C59F,#EFEFD0,"Warm golden sunset colors","warm,hopeful,romantic","landscapes,romance,warm scenes","warm golden sunset tones with orange and amber"
ocean-blue,Ocean Blue,海洋蓝,#0077B6,#00B4D8,#90E0EF,"Deep ocean blues","calm,depth,trust","water,corporate,calm scenes","deep ocean blues from navy to turquoise"
forest-green,Forest Green,森林绿,#2D6A4F,#40916C,#52B788,"Rich forest greens","natural,fresh,growth","nature,eco,organic","rich forest greens from deep to light"
cherry-blossom,Cherry Blossom,樱花粉,#FFB5C2,#FF8FAB,#FFD6E0,"Soft pink cherry blossom","delicate,spring,feminine","feminine,spring,romance","soft cherry blossom pinks"
midnight-blue,Midnight Blue,午夜蓝,#023E8A,#0077B6,#0096C7,"Deep midnight blues","mysterious,elegant,professional","luxury,night,professional","deep midnight blues"
autumn-leaves,Autumn Leaves,秋叶,#8B4513,#D2691E,#FF8C00,"Warm autumn earth tones","cozy,nostalgic,warm","autumn,cozy,warm scenes","warm autumn earth tones"
lavender-field,Lavender Field,薰衣草紫,#9B59B6,#8E44AD,#D5AAFF,"Soft lavender purples","calm,dreamy,romantic","feminine,calm,dreamy","soft lavender purples"
coral-reef,Coral Reef,珊瑚礁,#FF6B6B,#FFA07A,#FFD93D,"Vibrant coral colors","tropical,lively,energetic","tropical,summer,vibrant","vibrant coral reef colors"
ice-blue,Ice Blue,冰蓝,#A8DADC,#457B9D,#1D3557,"Cool icy blues","cold,crisp,modern","winter,modern,clean","cool icy blues"
mint-fresh,Mint Fresh,薄荷绿,#98D8C8,#7EC8B8,#C4FCEF,"Fresh mint greens","fresh,clean,youthful","fresh,clean,youthful","fresh mint greens"
rose-gold,Rose Gold,玫瑰金,#B76E79,#E8B4B8,#F4C7C3,"Elegant rose gold","luxury,feminine,elegant","luxury,feminine,elegant","elegant rose gold tones"
charcoal-gray,Charcoal Gray,炭灰,#36454F,#536878,#708090,"Sophisticated grays","professional,modern,neutral","corporate,modern,neutral","sophisticated charcoal grays"
peach-cream,Peach Cream,蜜桃奶油,#FFDAB9,#FFE4C4,#FFF8DC,"Soft peach cream","warm,gentle,inviting","feminine,warm,gentle","soft peach cream tones"
royal-purple,Royal Purple,皇家紫,#7B2D8E,#9B59B6,#C39BD3,"Regal purples","luxury,mystery,creative","luxury,creative,mystery","regal purple tones"
emerald-green,Emerald Green,祖母绿,#00A86B,#00C853,#69F0AE,"Vibrant emerald greens","luxury,nature,wealth","luxury,nature,premium","vibrant emerald greens"
cobalt-blue,Cobalt Blue,钴蓝,#0047AB,#0066CC,#3399FF,"Bold cobalt blues","bold,confident,professional","corporate,tech,professional","bold cobalt blues"
terracotta,Terracotta,赤陶,#E2725B,#CC5500,#CD853F,"Warm terracotta earth tones","earthy,warm,rustic","earthy,rustic,warm","warm terracotta earth tones"
slate-blue,Slate Blue,石板蓝,#6A5ACD,#7B68EE,#9370DB,"Muted slate blues","calm,sophisticated,subtle","corporate,calm,sophisticated","muted slate blues"
golden-hour,Golden Hour,黄金时刻,#FFD700,#FFA500,#FF8C00,"Warm golden hour colors","warm,hopeful,optimistic","landscapes,warm,optimistic","warm golden hour tones"
stormy-gray,Stormy Gray,风暴灰,#708090,#778899,#B0C4DE,"Dramatic storm grays","dramatic,moody,powerful","dramatic,moody,powerful","dramatic storm gray tones"
cherry-red,Cherry Red,樱桃红,#DE3163,#FF2D55,#FF6B8A,"Bold cherry reds","passionate,energetic,bold","passionate,energetic,bold","bold cherry red tones"
sage-green,Sage Green,鼠尾草绿,#9DC183,#B2C9AB,#D4E7C5,"Muted sage greens","calm,natural,peaceful","natural,calm,peaceful","muted sage green tones"
dusty-rose,Dusty Rose,灰玫瑰,#DCAE96,#E8B4B8,#F4C7C3,"Muted dusty rose","vintage,romantic,soft","vintage,romantic,soft","muted dusty rose tones"
navy-gold,Navy Gold,海军金,#000080,#FFD700,#C0C0C0,"Classic navy and gold","luxury,classic,professional","luxury,classic,professional","classic navy and gold"
