id,name_en,name_cn,category,description,keywords,prompt_template,negative_prompt,example_prompt,use_cases,difficulty
oil-painting,Traditional Oil Painting,传统油画,traditional,"Classic oil painting with visible brushstrokes and rich colors","oil,painting,brushstrokes,classical,rich","A {subject} painted in traditional oil painting style, with visible brushstrokes, rich colors, and classical composition","digital,flat,anime,cartoon","A landscape painted in traditional oil painting style, with visible brushstrokes, rich colors, and classical composition","portraits,landscapes,still life",medium
watercolor,Watercolor,水彩,traditional,"Soft, translucent watercolor with flowing colors","watercolor,soft,translucent,flowing","A {subject} in watercolor style, with soft translucent washes, flowing colors, and delicate details","harsh,dark,opaque,digital","A flower bouquet in watercolor style, with soft translucent washes, flowing colors, and delicate details","nature,portraits,illustrations",easy
sketch,Pencil Sketch,素描,traditional,"Detailed pencil sketch with shading and texture","sketch,pencil,shading,monochrome","A detailed pencil sketch of {subject}, with fine shading, texture, and monochrome tones","color,painting,digital","A detailed pencil sketch of a cat, with fine shading, texture, and monochrome tones","portraits,study,concept art",easy
ink-wash,Chinese Ink Wash,国画水墨,traditional,"Traditional Chinese ink wash painting with flowing brushwork","ink wash,chinese,traditional,flowing,brushwork","A {subject} in traditional Chinese ink wash painting style, with flowing brushwork and minimalist composition","color,realistic,digital","A mountain landscape in traditional Chinese ink wash painting style, with flowing brushwork and minimalist composition","landscapes,nature,traditional art",medium
woodcut,Woodcut Print,版画,traditional,"Bold woodcut print with high contrast and texture","woodcut,print,bold,contrast,texture","A {subject} in woodcut print style, with bold lines, high contrast, and carved texture","smooth,gradient,digital","A cityscape in woodcut print style, with bold lines, high contrast, and carved texture","illustrations,posters,art prints",medium
pixel-art,Pixel Art,像素风,digital,"Retro pixel art style with blocky shapes","pixel,retro,8-bit,16-bit,blocky","A {subject} in pixel art style, with blocky shapes, limited color palette, and retro aesthetic","smooth,realistic,high-res","A character in pixel art style, with blocky shapes, limited color palette, and retro aesthetic","games,retro art,avatars",easy
cyberpunk,Cyberpunk,赛博朋克,digital,"Futuristic cyberpunk with neon lights and dystopian elements","cyberpunk,neon,futuristic,dystopian,glowing","A {subject} in cyberpunk style, with neon lights, futuristic elements, and dystopian atmosphere","natural,organic,pastoral","A city street in cyberpunk style, with neon lights, futuristic elements, and dystopian atmosphere","sci-fi,concepts,game art",medium
vaporwave,Vaporwave,蒸汽波,digital,"Retro vaporwave with pastel colors and 80s aesthetics","vaporwave,pastel,retro,80s,aesthetic","A {subject} in vaporwave style, with pastel colors, retro 80s aesthetics, and dreamy atmosphere","realistic,modern,minimal","A landscape in vaporwave style, with pastel colors, retro 80s aesthetics, and dreamy atmosphere","art,posters,aesthetic",easy
glitch-art,Glitch Art,故障艺术,digital,"Digital glitch art with distortion and corruption effects","glitch,distortion,digital,corruption,error","A {subject} with glitch art effects, including digital distortion, corruption, and error patterns","clean,perfect,traditional","A portrait with glitch art effects, including digital distortion, corruption, and error patterns","experimental,art,avant-garde",medium
flat-design,Flat Design,扁平设计,illustration,"Clean flat design with simple shapes and colors","flat,minimal,simple,clean,geometric","A {subject} in flat design style, with simple shapes, clean lines, and minimal shadows","realistic,3d,textured","A set of icons in flat design style, with simple shapes, clean lines, and minimal shadows","UI,icons,illustrations",easy
